2012-032T00:00:00Z,12:22:23
2012-032T00:12:00Z,12:22:22
2012-032T00:24:00Z,12:22:22
2012-032T00:36:00Z,12:22:21
2012-032T00:48:00Z,12:22:21
2012-032T01:00:00Z,12:22:20
2012-032T01:12:00Z,12:22:20
2012-032T01:24:00Z,12:22:19
2012-032T01:36:00Z,12:22:19
2012-032T01:48:00Z,12:22:18
2012-032T02:00:00Z,12:22:18
2012-032T02:12:00Z,12:22:17
2012-032T02:24:00Z,12:22:16
2012-032T02:36:00Z,12:22:16
2012-032T02:48:00Z,12:22:15
2012-032T03:00:00Z,12:22:15
2012-032T03:12:00Z,12:22:14
2012-032T03:24:00Z,12:22:14
2012-032T03:36:00Z,12:22:13
2012-032T03:48:00Z,12:22:13
2012-032T04:00:00Z,12:22:12
2012-032T04:12:00Z,12:22:12
2012-032T04:24:00Z,12:22:11
2012-032T04:36:00Z,12:22:11
2012-032T04:48:00Z,12:22:10
2012-032T05:00:00Z,12:22:10
2012-032T05:12:00Z,12:22:09
2012-032T05:24:00Z,12:22:08
2012-032T05:36:00Z,12:22:08
2012-032T05:48:00Z,12:22:07
2012-032T06:00:00Z,12:22:07
2012-032T06:12:00Z,12:22:06
2012-032T06:24:00Z,12:22:06
2012-032T06:36:00Z,12:22:05
2012-032T06:48:00Z,12:22:05
2012-032T07:00:00Z,12:22:04
2012-032T07:12:00Z,12:22:04
2012-032T07:24:00Z,12:22:03
2012-032T07:36:00Z,12:22:03
2012-032T07:48:00Z,12:22:02
2012-032T08:00:00Z,12:22:02
2012-032T08:12:00Z,12:22:01
2012-032T08:24:00Z,12:22:00
2012-032T08:36:00Z,12:22:00
2012-032T08:48:00Z,12:22:00
2012-032T09:00:00Z,12:22:00
2012-032T09:12:00Z,12:21:58
2012-032T09:24:00Z,12:21:58
2012-032T09:36:00Z,12:21:57
2012-032T09:48:00Z,12:21:57
2012-032T10:00:00Z,12:21:56
2012-032T10:12:00Z,12:21:56
2012-032T10:24:00Z,12:21:55
2012-032T10:36:00Z,12:21:55
2012-032T10:48:00Z,12:21:54
2012-032T11:00:00Z,12:21:54
2012-032T11:12:00Z,12:21:53
2012-032T11:24:00Z,12:21:52
2012-032T11:36:00Z,12:21:52
2012-032T11:48:00Z,12:21:51
2012-032T12:00:00Z,12:21:51
2012-032T12:12:00Z,12:21:50
2012-032T12:24:00Z,12:21:50
2012-032T12:36:00Z,12:21:49
2012-032T12:48:00Z,12:21:49
2012-032T13:00:00Z,12:21:48
2012-032T13:12:00Z,12:21:48
2012-032T13:24:00Z,12:21:47
2012-032T13:36:00Z,12:21:47
2012-032T13:48:00Z,12:21:46
2012-032T14:00:00Z,12:21:46
2012-032T14:12:00Z,12:21:45
2012-032T14:24:00Z,12:21:44
2012-032T14:36:00Z,12:21:44
2012-032T14:48:00Z,12:21:43
2012-032T15:00:00Z,12:21:43
2012-032T15:12:00Z,12:21:42
2012-032T15:24:00Z,12:21:42
2012-032T15:36:00Z,12:21:41
2012-032T15:48:00Z,12:21:41
2012-032T16:00:00Z,12:21:40
2012-032T16:12:00Z,12:21:40
2012-032T16:24:00Z,12:21:39
2012-032T16:36:00Z,12:21:38
2012-032T16:48:00Z,12:21:38
2012-032T17:00:00Z,12:21:37
2012-032T17:12:00Z,12:21:37
2012-032T17:24:00Z,12:21:36
2012-032T17:36:00Z,12:21:36
2012-032T17:48:00Z,12:21:35
2012-032T18:00:00Z,12:21:35
2012-032T18:12:00Z,12:21:34
2012-032T18:24:00Z,12:21:33
2012-032T18:36:00Z,12:21:33
2012-032T18:48:00Z,12:21:32
2012-032T19:00:00Z,12:21:32
2012-032T19:12:00Z,12:21:31
2012-032T19:24:00Z,12:21:31
2012-032T19:36:00Z,12:21:30
2012-032T19:48:00Z,12:21:30
2012-032T20:00:00Z,12:21:29
2012-032T20:12:00Z,12:21:28
2012-032T20:24:00Z,12:21:28
2012-032T20:36:00Z,12:21:27
2012-032T20:48:00Z,12:21:27
2012-032T21:00:00Z,12:21:26
2012-032T21:12:00Z,12:21:26
2012-032T21:24:00Z,12:21:25
2012-032T21:36:00Z,12:21:25
2012-032T21:48:00Z,12:21:24
2012-032T22:00:00Z,12:21:24
2012-032T22:12:00Z,12:21:23
2012-032T22:24:00Z,12:21:22
2012-032T22:36:00Z,12:21:22
2012-032T22:48:00Z,12:21:21
2012-032T23:00:00Z,12:21:21
2012-032T23:12:00Z,12:21:20
2012-032T23:24:00Z,12:21:20
2012-032T23:36:00Z,12:21:19
2012-032T23:48:00Z,12:21:19
