2012-032T00:00:00Z,169.0619215566,-162.0686049595
2012-032T00:12:00Z,169.0787158514,-162.0508058778
2012-032T00:24:00Z,169.0954981845,-162.0329828727
2012-032T00:36:00Z,169.1122924792,-162.0151837910
2012-032T00:48:00Z,169.1290867740,-161.9973727476
2012-032T01:00:00Z,169.1458571453,-161.9795736660
2012-032T01:12:00Z,169.1626634018,-161.9617626226
2012-032T01:24:00Z,169.1794576966,-161.9439635409
2012-032T01:36:00Z,169.1962280679,-161.9261524975
2012-032T01:48:00Z,169.2130223627,-161.9083414541
2012-032T02:00:00Z,169.2298166575,-161.8905423725
2012-032T02:12:00Z,169.2465989905,-161.8727313291
2012-032T02:24:00Z,169.2633932853,-161.8549322474
2012-032T02:36:00Z,169.2801875801,-161.8371212040
2012-032T02:48:00Z,169.2969699131,-161.8193101606
2012-032T03:00:00Z,169.3137642079,-161.8014991172
2012-032T03:12:00Z,169.3305585027,-161.7837000356
2012-032T03:24:00Z,169.3473288740,-161.7658889922
2012-032T03:36:00Z,169.3641231688,-161.7480899105
2012-032T03:48:00Z,169.3809174635,-161.7302788671
2012-032T04:00:00Z,169.3976997966,-161.7124678237
2012-032T04:12:00Z,169.4144940914,-161.6946687420
2012-032T04:24:00Z,169.4312883862,-161.6768576986
2012-032T04:36:00Z,169.4480707192,-161.6590586170
2012-032T04:48:00Z,169.4648650140,-161.6412475736
2012-032T05:00:00Z,169.4816593088,-161.6234365302
2012-032T05:12:00Z,169.4984296800,-161.6056254868
2012-032T05:24:00Z,169.5152239748,-161.5878264051
2012-032T05:36:00Z,169.5320182696,-161.5700153617
2012-032T05:48:00Z,169.5488006026,-161.5522162801
2012-032T06:00:00Z,169.5655948974,-161.5344052367
2012-032T06:12:00Z,169.5823891922,-161.5165941933
2012-032T06:24:00Z,169.5991715252,-161.4987951116
2012-032T06:36:00Z,169.6159658200,-161.4809840682
2012-032T06:48:00Z,169.6327601148,-161.4631849866
2012-032T07:00:00Z,169.6495304861,-161.4453739432
2012-032T07:12:00Z,169.6663247809,-161.4275748615
2012-032T07:24:00Z,169.6831071139,-161.4097518564
2012-032T07:36:00Z,169.6999014087,-161.3919527747
2012-032T07:48:00Z,169.7166957035,-161.3741417313
2012-032T08:00:00Z,169.7334780365,-161.3563426497
2012-032T08:12:00Z,169.7502723313,-161.3385316063
2012-032T08:24:00Z,169.7670666261,-161.3207325246
2012-032T08:36:00Z,169.7838369974,-161.3029214812
2012-032T08:48:00Z,169.8006312922,-161.2851104378
2012-032T09:00:00Z,169.8174375487,-161.2673113562
2012-032T09:12:00Z,169.8342079200,-161.2495003128
2012-032T09:24:00Z,169.8510022148,-161.2317012311
2012-032T09:36:00Z,169.8677965096,-161.2138782260
2012-032T09:48:00Z,169.8845788426,-161.1960791443
2012-032T10:00:00Z,169.9013731374,-161.1782681009
2012-032T10:12:00Z,169.9181674322,-161.1604690193
2012-032T10:24:00Z,169.9349378034,-161.1426579759
2012-032T10:36:00Z,169.9517320982,-161.1248588942
2012-032T10:48:00Z,169.9685383548,-161.1070478508
2012-032T11:00:00Z,169.9853087260,-161.0892368074
2012-032T11:12:00Z,170.0021030208,-161.0714377258
2012-032T11:24:00Z,170.0188973156,-161.0536266824
2012-032T11:36:00Z,170.0356796486,-161.0358276007
2012-032T11:48:00Z,170.0524739434,-161.0180165573
2012-032T12:00:00Z,170.0692682382,-161.0002055139
2012-032T12:12:00Z,170.0860386095,-160.9823944705
2012-032T12:24:00Z,170.1028448660,-160.9645953889
2012-032T12:36:00Z,170.1196391608,-160.9467843455
2012-032T12:48:00Z,170.1364095321,-160.9289852638
2012-032T13:00:00Z,170.1532038269,-160.9111742204
2012-032T13:12:00Z,170.1699981217,-160.8933631770
2012-032T13:24:00Z,170.1867804547,-160.8755640954
2012-032T13:36:00Z,170.2035747495,-160.8577530520
2012-032T13:48:00Z,170.2203690443,-160.8399539703
2012-032T14:00:00Z,170.2371394156,-160.8221429269
2012-032T14:12:00Z,170.2539456721,-160.8043318835
2012-032T14:24:00Z,170.2707399669,-160.7865208401
2012-032T14:36:00Z,170.2875103382,-160.7687217585
2012-032T14:48:00Z,170.3043046329,-160.7509107151
2012-032T15:00:00Z,170.3210869660,-160.7331116334
2012-032T15:12:00Z,170.3378812608,-160.7153005900
2012-032T15:24:00Z,170.3546755556,-160.6974895466
2012-032T15:36:00Z,170.3714459268,-160.6796904650
2012-032T15:48:00Z,170.3879531397,-160.6618913833
2012-032T16:00:00Z,170.4042570028,-160.6440923017
2012-032T16:12:00Z,170.4205847894,-160.6263051818
2012-032T16:24:00Z,170.4368886525,-160.6085061001
2012-032T16:36:00Z,170.4531925156,-160.5907070185
2012-032T16:48:00Z,170.4695203021,-160.5729198986
2012-032T17:00:00Z,170.4858241652,-160.5551208169
2012-032T17:12:00Z,170.5021280283,-160.5373336970
2012-032T17:24:00Z,170.5184558149,-160.5195346154
2012-032T17:36:00Z,170.5347596780,-160.5017474955
2012-032T17:48:00Z,170.5510874646,-160.4839484138
2012-032T18:00:00Z,170.5673913277,-160.4661493322
2012-032T18:12:00Z,170.5836951908,-160.4483622123
2012-032T18:24:00Z,170.6000229774,-160.4305631306
2012-032T18:36:00Z,170.6163268405,-160.4127640490
2012-032T18:48:00Z,170.6326307036,-160.3949769291
2012-032T19:00:00Z,170.6489584902,-160.3771898091
2012-032T19:12:00Z,170.6652623533,-160.3593907275
2012-032T19:24:00Z,170.6815662164,-160.3416036076
2012-032T19:36:00Z,170.6978940030,-160.3238045259
2012-032T19:48:00Z,170.7141978661,-160.3060054443
2012-032T20:00:00Z,170.7305136910,-160.2882183244
2012-032T20:12:00Z,170.7468295158,-160.2704192427
2012-032T20:24:00Z,170.7631453407,-160.2526201611
2012-032T20:36:00Z,170.7794611655,-160.2348330412
2012-032T20:48:00Z,170.7957650286,-160.2170459213
2012-032T21:00:00Z,170.8120808534,-160.1992468396
2012-032T21:12:00Z,170.8283966783,-160.1814477580
2012-032T21:24:00Z,170.8447125031,-160.1636606381
2012-032T21:36:00Z,170.8610163662,-160.1458615564
2012-032T21:48:00Z,170.8773321911,-160.1280624748
2012-032T22:00:00Z,170.8936480159,-160.1102753549
2012-032T22:12:00Z,170.9099518790,-160.0924762732
2012-032T22:24:00Z,170.9262796656,-160.0746771916
2012-032T22:36:00Z,170.9425835287,-160.0569020334
2012-032T22:48:00Z,170.9588873918,-160.0391029518
2012-032T23:00:00Z,170.9752151784,-160.0213038701
2012-032T23:12:00Z,170.9915190415,-160.0035167502
2012-032T23:24:00Z,171.0078468281,-159.9857176686
2012-032T23:36:00Z,171.0241506912,-159.9679185869
2012-032T23:48:00Z,171.0404545543,-159.9501314670
